Tên thủ tục,Link
"Thủ tục: Kiểm tra, xét duyệt nhân sự, cấp phép nhập cảnh cho người nước ngoài nhập cảnh vào Việt Nam qua giao dịch điện tử tại Cổng thông tin điện tử về xuất nhập cảnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26692
Xét duyệt nhân sự cấp phép nhập cảnh cho người nước ngoài nhập cảnh vào Việt Nam theo điều ước quốc tế mà Việt Nam là thành viên nhưng chưa có hiện diện thương mại hoặc đối tác tại Việt Nam,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26496
Đăng ký thường trú,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26360
"Cấp giấy miễn thị thực cho người Việt Nam định cư ở nước ngoài và người nước ngoài là vợ, chồng, con của người Việt Nam định cư ở nước ngoài hoặc của công dân Việt Nam",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26279
"Cấp lại giấy miễn thị thực tại Cục Quản lý xuất nhập cảnh, Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26249
Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực tại Cục Quản lý xuất nhập cảnh Bộ Công an,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26248
"Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực tại Phòng Quản lý xuất nhập cảnh Công an tỉnh, thành phố trực thuộc Trung ương",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35700
Điều chỉnh Giấy phép vận chuyển vật liệu nổ công nghiệp thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26754
"Cấp Giấy phép xuất khẩu, nhập khẩu công cụ hỗ trợ thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26238
Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26247
Cấp lại Giấy phép kinh doanh công cụ hỗ trợ thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26240
Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26245
"Thủ tục cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam tại Phòng Quản lý xuất nhập cảnh Công an tỉnh, thành phố trực thuộc Trung ương",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35699
Trình báo mất giấy thông hành (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35694
Trình báo mất giấy thông hành (thực hiện tại cấp xã),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64187
Trình báo mất hộ chiếu phổ thông (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26256
